,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,uri,song,artist
0,0.671,0.685,0,-5.825,1,0.0248,0.0377,1.65e-05,0.243,0.789,97.007,19,spotify:track:7BLWdDxt4ex0EZPjfdaclZ,Pictures,Lady A
0,0.401,0.624,4,-7.043,1,0.0376,0.173,5.26e-05,0.092,0.302,81.527,2,spotify:track:5VcyXfhkKevhs5KE0ScQI0,Crazy Love,Lady A
0,0.469,0.921,8,-4.841,1,0.0712,0.103,0.0,0.0534,0.812,161.946,4,spotify:track:5dKWu8yEy5LBP4qbeWofyq,You Can Do You,Lady A
0,0.518,0.601,2,-6.951,1,0.048,0.206,0.0,0.111,0.405,75.075,18,spotify:track:2w2H7la1WRX5GSLCdXQDDd,What I’m Leaving For,Lady A
0,0.356,0.384,0,-7.335,1,0.032,0.36,0.0,0.487,0.128,123.003,17,spotify:track:1yCRV7UIVTuhlDKWnbu7MI,Be Patient With My Love,Lady A
0,0.467,0.831,3,-4.959,1,0.055,0.121,0.0,0.171,0.574,183.821,10,spotify:track:6kztrxG3HUvtCAFouEQaS4,Alright,Lady A
0,0.481,0.592,6,-5.983,1,0.0315,0.0755,5.23e-06,0.109,0.241,96.039,2,spotify:track:5g8XPVkkoWsE00JEKXzrJ4,Let It Be Love,Lady A
0,0.34,0.364,9,-8.331,1,0.0287,0.545,6.92e-05,0.101,0.11,123.022,1,spotify:track:0MmDFasVJjaZu3p8KlRvRZ,On A Night Like This,Lady A
0,0.49,0.886,8,-5.404,1,0.0443,0.00114,1.37e-05,0.096,0.493,126.044,4,spotify:track:1rfGnqYVbyWvZWCwylzNZT,Boots,Lady A
0,0.475,0.475,2,-7.319,1,0.0265,0.348,2.54e-05,0.104,0.129,101.069,17,spotify:track:6o2P8nIA5PNWggvohN2cjU,The Thing That Wrecks You,Lady A
0,0.568,0.637,7,-5.977,1,0.0313,0.249,5.98e-06,0.1,0.452,76.037,2,spotify:track:4anMp1snWhpCRzxWObDzRZ,Mansion,Lady A
0,0.58,0.36,6,-7.93,1,0.0303,0.841,6.15e-06,0.129,0.302,99.194,5,spotify:track:5G6Nf4Ytk3dzxnhfP2AhKR,Ocean,Lady A
0,0.289,0.722,8,-5.954,1,0.0481,0.0652,0.0,0.126,0.355,90.868,2,spotify:track:19huPAR2ae3qJ4jDIEbbAn,I Won't,Colbie Caillat
0,0.547,0.79,11,-6.169,1,0.0293,0.0173,3.96e-06,0.19,0.56,136.967,4,spotify:track:2KxlEVXa3o4ajZ3S8xlh9F,Begin Again,Colbie Caillat
